submission,field,field_name,value,license,name,type,description,doi,
65,5_1,Data Availability,https://github.com/RMLio/RML2SHACL/tree/kcap21/shapes/astrea_test ,MIT,Ontology RML2SHACL shapes,Dataset,,,
65,6,Ontology Availability,,,,,,,
68,1,Paper Type,Short,,,,,,
68,2,Student,Yes,,,,,,
68,3,Publication Resources,Yes,,,,,,
68,4,Code Availability,https://github.com/dice-group/ASSET,AGPL-3.0 License ,ASSET,SoftwareSourceCode,A Semi-supervised Approach for Entity Typing in Knowledge Graphs,,
68,5,Data Availability,,,,,,,
68,6,Ontology Availability,,,,,,,
72,1,Paper Type,Full,,,,,,
72,2,Student,Yes,,,,,,
72,3,Publication Resources,Yes,,,,,,
72,4,Code Availability,,,,,,,
72,5,Data Availability,,,,,,,
72,6,Ontology Availability,,,,,,,
79,1,Paper Type,Full,,,,,,
79,2,Student,Yes,,,,,,
79,3,Publication Resources,Yes,,,,,,
79,4,Code Availability,https://github.com/amoya87/sparqldynamics/,CC-BY-2.0,sparqldynamics,SoftwareSourceCode,,,
79,5,Data Availability,,,,,,,
79,6,Ontology Availability,N/A,,,,,,
80,1,Paper Type,Full,,,,,,
80,2,Student,Yes,,,,,,
80,3,Publication Resources,Yes,,,,,,
80,4,Code Availability,,,,,,,
80,5,Data Availability,,,,,,,
80,6,Ontology Availability,,,,,,,
82,1,Paper Type,Full,,,,,,
82,2,Student,Yes,,,,,,
82,3,Publication Resources,Yes,,,,,,
82,4,Code Availability,https://github.com/ucds-vu/living-reviews/,,Living Literature Reviews,SoftwareSourceCode,,,
82,5,Data Availability,https://github.com/ucds-vu/living-reviews/,,Living Literature Reviews,Dataset,,,
82,6,Ontology Availability,,,,,,,
83,1,Paper Type,Full,,,,,,
83,2,Student,Yes,,,,,,
83,3,Publication Resources,Yes,,,,,,
83,4,Code Availability,,,,,,,
83,5,Data Availability,https://www.allcounted.com/share?view=questions&cid=etfbfn66ab4ja&lang=en_US,,The Candidate Measures for Assessing Ontology(s) Reusability,Data,,,
83,6,Ontology Availability,,,,,,,
91,1,Paper Type,Full,,,,,,
91,2,Student,,,,,,,
91,3,Publication Resources,No,,,,,,
91,4,Code Availability,,,,,,,
91,5,Data Availability,,,,,,,
91,6,Ontology Availability,,,,,,,
94,1,Paper Type,Short,,,,,,
94,2,Student,Yes,,,,,,
94,3,Publication Resources,Yes,,,,,,
94,4,Code Availability,https://github.com/D2KLab/CSTM,Apache 2.0,CSTM,SoftwareSourceCode,Common-sense Topic Modeling,,
94,5,Data Availability,https://github.com/D2KLab/CSTM/tree/main/data,Apache 2.0,,Dataset,,,
94,6,Ontology Availability,,,,,,,
95,1,Paper Type,Full,,,,,,
95,2,Student,Yes,,,,,,
95,3,Publication Resources,Yes,,,,,,
95,4,Code Availability,https://github.com/daniyal9538/coactivation_AE_AD.git,CC BY 4.0,Coactivation_AE_AD,SoftwareSourceCode,,,
95,5,Data Availability,http://www.timeseriesclassification.com/description.php?Dataset=ECG5000,,ECG5000,Dataset,,,
95,6,Ontology Availability,,,,,,,
96,1,Paper Type,Short,,,,,,
96,2,Student,,,,,,,
96,3,Publication Resources,Yes,,,,,,
